RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1
694,0,0,0,0,0,0,0,0,0,01,0,0,0,01
695,0,0,0,0,0,0,01,01,0,09,0,01,0,012
800,0,0,-1,0,03,0,0,0,02,0,0,0,0,04
801,0,0,0,0,0,0,0,0,0,0,0,0,0,00
821,0,0,0,0,0,0,0,0,0,0,0,0,0,00
822,0,0,0,0,0,0,0,0,0,0,0,0,0,00
823,0,0,0,0,0,0,0,0,0,0,0,0,0,00
824,0,0,0,0,0,0,0,0,0,0,0,0,0,00
825,0,0,0,0,0,0,0,0,0,0,0,0,0,00
962,0,0,0,0,0,0,0,0,0,0,0,0,0,00
972,0,0,0,0,0,0,0,0,0,0,0,0,0,00
Unk,0,0,0,0,0,0,01,0,0,0,0,0,0,01
